T&D :- 11/02/2023 10:03:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 57 | 10606.07
T&D :- 11/02/2023 10:04:04 | EURUSD-OTC |  | WIN | put | 9 | Counter :- 58 | 10615.99
T&D :- 11/02/2023 10:05:03 | EURUSD-OTC |  | WIN | put | 8 | Counter :- 59 | 10625.02
T&D :- 11/02/2023 10:06:04 | EURUSD-OTC |  | WIN | put | 7 | Counter :- 60 | 10633.16
T&D :- 11/02/2023 10:07:04 | EURUSD-OTC |  | WIN | put | 6 | Counter :- 61 | 10640.4
T&D :- 11/02/2023 10:08:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 62 | 10635.4
T&D :- 11/02/2023 10:09:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 63 | 10623.4
T&D :- 11/02/2023 10:10:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 64 | 10645.11
T&D :- 11/02/2023 10:11:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 65 | 10637
T&D :- 11/02/2023 10:12:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 66 | 10632
T&D :- 11/02/2023 10:13:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 67 | 10620
T&D :- 11/02/2023 10:14:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 68 | 10641.7
T&D :- 11/02/2023 10:15:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 69 | 10633.59
T&D :- 11/02/2023 10:16:05 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 70 | 10628.59
T&D :- 11/02/2023 10:17:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 71 | 10616.59
T&D :- 11/02/2023 10:18:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 72 | 10638.3
T&D :- 11/02/2023 10:19:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 73 | 10630.19
T&D :- 11/02/2023 10:20:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 74 | 10625.19
T&D :- 11/02/2023 10:21:03 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 75 | 10613.19
T&D :- 11/02/2023 10:22:03 | EURUSD-OTC |  | LOSS | put | 30 | Counter :- 76 | 10583.19
T&D :- 11/02/2023 10:23:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 77 | 10638.95
T&D :- 11/02/2023 10:24:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 78 | 10633.95
T&D :- 11/02/2023 10:25:05 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 79 | 10642.41
T&D :- 11/02/2023 10:26:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 80 | 10634.31
T&D :- 11/02/2023 10:27:04 | EURUSD-OTC |  | WIN | put | 15 | Counter :- 81 | 10638.23
T&D :- 11/02/2023 10:28:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 82 | 10633.23
T&D :- 11/02/2023 10:29:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 83 | 10641.69
T&D :- 11/02/2023 10:30:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 84 | 10636.69
T&D :- 11/02/2023 10:31:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 85 | 10645.15
T&D :- 11/02/2023 10:32:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 86 | 10640.15
T&D :- 11/02/2023 10:33:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 87 | 10628.15
T&D :- 11/02/2023 10:34:04 | EURUSD-OTC |  | LOSS | put | 30 | Counter :- 88 | 10598.15
T&D :- 11/02/2023 10:35:04 | EURUSD-OTC |  | LOSS | put | 64 | Counter :- 89 | 10532.15
